62829,I


8240,B

8456,B

19952,P

8424,B

8104,B

19584,P

8688,B

8752,B

23008,P


8744,B

9424,B

23408,I


7696,B

7976,B

18368,P

7720,B

7816,B

17840,P

7456,B

7584,B

33056,P

12064,B

7864,B

24136,P


12592,B

7304,B

31896,I


7688,B

12384,B

24584,P

8072,B

8048,B

25768,P

7720,B

8200,B

26272,P

7984,B

12552,B

25096,P


9352,B

8216,B

34848,I


9928,B

9904,B

31224,P

10192,B

10456,B

31480,P

9064,B

9776,B

23224,P

10656,B

12408,B

26160,P


9648,B

8496,B

27544,I


11608,B

11480,B

20200,P

14040,B

16696,B

30576,P

13776,B

13720,B

23928,P

15264,B

15896,B

27168,P


20720,B

18264,B

51056,I


23784,B

17568,B

30160,P

15664,B

18904,B

27280,P

11632,B

19392,B

42496,P

14200,B

14680,B

35072,P


15392,B

13184,B

62392,I


20544,B

17440,B

36128,P

17840,B

20896,B

47480,P

13632,B

16688,B

43320,P

16992,B

15856,B

29192,P


20160,B

9400,B

38128,I


23464,B

18480,B

23224,P

16504,B

17416,B

25040,P

13208,B

16264,B

19624,P

13624,B

12600,B

16728,P


12600,B

10760,B

27320,I


14432,B

14584,B

32200,P

14024,B

16192,B

28352,P

12432,B

15464,B

25912,P

14888,B

16184,B

27112,P


13944,B

12408,B

48688,I


16736,B

14760,B

23264,P

16760,B

18288,B

26624,P

12768,B

14376,B

23328,P

15056,B

15880,B

20936,P


15552,B

14368,B

50280,I


17944,B

16632,B

29488,P

16848,B

20488,B

27496,P

14152,B

16728,B

23312,P

14896,B

15448,B

23376,P


19024,B

16408,B

54312,I


20856,B

18344,B

26216,P

15088,B

16920,B

26072,P

12760,B

13080,B

20656,P

14808,B

14008,B

21112,P


16328,B

15088,B

45888,I


16640,B

13568,B

22680,P

13552,B

15968,B

24880,P

12088,B

12888,B

20584,P

13664,B

14592,B

19376,P


14872,B

12976,B

54024,I


18672,B

16512,B

25792,P

13544,B

15688,B

23952,P

13008,B

14040,B

22248,P

16304,B

16184,B

21272,P


13536,B

12888,B

46736,I


18440,B

16112,B

22128,P

15496,B

17912,B

27216,P

14912,B

14320,B

25680,P

17240,B

14408,B

26136,P


14576,B

12312,B

47808,I


17040,B

14792,B

22376,P

13760,B

17632,B

23768,P

